 Distribution of h552:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           7	  2.3333333E-03
 ico9:	           2	  6.6666666E-04
 ico8:	          21	  7.0000002E-03
 ico7:	          37	  1.2333333E-02
 ico6:	          74	  2.4666667E-02
 ico5:	         154	  5.1333334E-02
 ico4:	         244	  8.1333332E-02
 ico3:	         403	  0.1343333    
 ico2:	         555	  0.1850000    
 ico1:	         762	  0.2540000    
 
 Distribution of h332:
 ico12:	           0	  0.0000000E+00
 ico11:	           0	  0.0000000E+00
 ico10:	           0	  0.0000000E+00
 ico9:	           0	  0.0000000E+00
 ico8:	           0	  0.0000000E+00
 ico7:	           0	  0.0000000E+00
 ico6:	           0	  0.0000000E+00
 ico5:	           0	  0.0000000E+00
 ico4:	           0	  0.0000000E+00
 ico3:	           0	  0.0000000E+00
 ico2:	          10	  3.3333334E-03
 ico1:	         208	  6.9333330E-02
 
 i:	h552:	h332:	neib:
        2838	           0	           0	          13
        2839	           1	           0	          13
        2840	           1	           0	          14
        2841	           1	           0	          16
        2842	           0	           0	          13
        2843	           1	           0	          13
        2844	           2	           0	          13
        2845	           6	           1	          15
        2846	           1	           0	          13
        2847	           2	           0	          11
        2848	           0	           0	          12
        2849	           3	           0	          14
        2850	           3	           0	          15
        2851	           1	           0	          13
        2852	           5	           0	          16
        2853	           1	           0	          13
        2854	           2	           0	          14
        2855	           5	           0	          14
        2856	           1	           0	          13
        2857	           0	           0	          14
        2858	           6	           0	          14
        2859	           1	           0	          12
        2860	           1	           1	          12
        2861	           1	           1	          14
        2862	           5	           0	          14
        2863	           3	           0	          13
        2864	           2	           0	          12
        2865	           2	           0	          12
        2866	           0	           0	          13
        2867	           4	           0	          14
        2868	           2	           0	          13
        2869	           2	           0	          13
        2870	           0	           0	          12
        2871	           3	           0	          14
        2872	           3	           0	          15
        2873	           1	           0	          13
        2874	           4	           0	          14
        2875	           0	           0	          12
        2876	           2	           0	          12
        2877	           2	           1	          13
        2878	           2	           0	          13
        2879	           1	           0	          12
        2880	           2	           0	          14
        2881	           4	           0	          15
        2882	           0	           0	          14
        2883	           2	           0	          13
        2884	           1	           0	          12
        2885	           1	           0	          14
        2886	           0	           0	          10
        2887	           4	           0	          14
        2888	           2	           1	          14
